Dag,Uur,DJ
Monday,0,Jeroen van Inkel
Monday,1,Jeroen van Inkel
Monday,2,Wildgroei
Monday,3,Wildgroei
Monday,4,Giel Beelen
Monday,5,Giel Beelen
Monday,6,Jan-Willem Roodbeen
Monday,7,Jan-Willem Roodbeen
Monday,8,Jan-Willem Roodbeen
Monday,9,Bart Aarends
Monday,10,Bart Aarends
Monday,11,Bart Aarends
Monday,12,Annemieke Schollaardt
Monday,13,Annemieke Schollaardt
Monday,14,Gijs Staverman
Monday,15,Gijs Staverman
Monday,16,Eddie Keur
Monday,17,Eddie Keur
Monday,18,Wouter van de Goes
Monday,19,Wouter van de Goes
Monday,20,Stefan Stasse
Monday,21,Stefan Stasse
Monday,22,Frank van 't  Hof
Monday,23,Frank van 't  Hof
Tuesday,0,Kimberly Dekker
Tuesday,1,Kimberly Dekker
Tuesday,2,Rick van Velzen
Tuesday,3,Rick van Velzen
Tuesday,4,Giel Beelen
Tuesday,5,Giel Beelen
Tuesday,6,Jan-Willem Roodbeen
Tuesday,7,Jan-Willem Roodbeen
Tuesday,8,Jan-Willem Roodbeen
Tuesday,9,Bart Aarends
Tuesday,10,Bart Aarends
Tuesday,11,Bart Aarends
Tuesday,12,Annemieke Schollaardt
Tuesday,13,Annemieke Schollaardt
Tuesday,14,Gijs Staverman
Tuesday,15,Gijs Staverman
Tuesday,16,Eddie Keur
Tuesday,17,Eddie Keur
Tuesday,18,Wouter van de Goes
Tuesday,19,Wouter van de Goes
Tuesday,20,Stefan Stasse
Tuesday,21,Stefan Stasse
Tuesday,22,Frank van 't  Hof
Tuesday,23,Frank van 't  Hof
Wednesday,0,Kimberly Dekker
Wednesday,1,Kimberly Dekker
Wednesday,2,Rick van Velzen
Wednesday,3,Rick van Velzen
Wednesday,4,Giel Beelen
Wednesday,5,Giel Beelen
Wednesday,6,Jan-Willem Roodbeen
Wednesday,7,Jan-Willem Roodbeen
Wednesday,8,Jan-Willem Roodbeen
Wednesday,9,Bart Aarends
Wednesday,10,Bart Aarends
Wednesday,11,Bart Aarends
Wednesday,12,Annemieke Schollaardt
Wednesday,13,Annemieke Schollaardt
Wednesday,14,Gijs Staverman
Wednesday,15,Gijs Staverman
Wednesday,16,Eddie Keur
Wednesday,17,Eddie Keur
