Jaar,Positie,Titel,Punten
1999,1,Bohemian Rhapsody,10
1999,2,Hotel California,9
1999,3,Child in Time,8
1999,4,Stairway to heaven,7
1999,5,Paradise by the dashboard light,6
1999,6,Yesterday,5
1999,7,Imagine,4
1999,8,Angie,3
1999,9,Bridge over Troubled Water,2
1999,10,A whiter shade of Pale,1
2000,1,Bohemian Rhapsody,10
2000,2,Child in Time,9
2000,3,Stairway to heaven,8
2000,4,Hotel California,7
2000,5,Paradise by the dashboard light,6
2000,6,Hey Jude,5
2000,7,Imagine,4
2000,8,Yesterday,3
2000,9,Angie,2
2000,10,November Rain,1
2001,1,Bohemian Rhapsody,10
2001,2,Child in Time,9
2001,3,Hotel California,8
2001,4,Stairway to heaven,7
2001,5,Paradise by the dashboard light,6
2001,6,The House of the Rising Sun,5
2001,7,Brothers in  Arms,4
2001,8,Goodnight Saigon,3
2001,9,Hey Jude,2
2001,10,Sultans of Swing,1
2002,1,Bohemian Rhapsody,10
2002,2,Child in Time,9
2002,3,Hotel California,8
2002,4,Stairway to heaven,7
2002,5,Paradise by the dashboard light,6
2002,6,The House of the Rising Sun,5
2002,7,Private Investigations,4
2002,8,Old and Wise,3
2002,9,Brothers in  Arms,2
2002,10,Riders on the Storm,1
2003,1,Bohemian Rhapsody,10
2003,2,Hotel California,9
2003,3,Child in Time,8
2003,4,Stairway to Heaven,7
2003,5,Paradise by the dashboard light,6
2003,6,November Rain,5
2003,7,The House of the Rising Sun,4
2003,8,Avond,3
2003,9,Old and Wise,2
2003,10,Angie,1
2004,1,Bohemian Rhapsody,10
2004,2,Hotel California,9
2004,3,Child in Time,8
2004,4,Stairway to Heaven,7
2004,5,Avond,6
2004,6,Paradise by the dashboard light,5
2004,7,November Rain,4
2004,8,The House of  the Rising Sun,3
2004,9,Imagine,2
2004,10,Clocks,1
2005,1,Avond,10
2005,2,Bohemian Rhapsody,9
2005,3,Hotel California,8
2005,4,Child in Time,7
2005,5,Stairway to Heaven,6
2005,6,Paradise by the dashboard light,5
2005,7,Clocks,4
2005,8,The House of  the Rising Sun,3
2005,9,Old and Wise,2
2005,10,November Rain,1
2006,1,Bohemian Rhapsody,10
2006,2,Avond,9
2006,3,Hotel California,8
2006,4,Child in Time,7
2006,5,Stairway to Heaven,6
2006,6,One,5
2006,7,Paradise by the dashboard light,4
2006,8,Wish you were here,3
2006,9,Clocks,2
