Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
080 461-1,The Police,Synchronicity,A&M Records,"LP, Album, RE, 180",,2019,14381041,Uncategorized,2021-01-22 11:41:30,,,
393912-1,Sting,...Nothing Like The Sun,A&M Records,"2xLP, Album",,1987,461532,Uncategorized,2020-12-21 01:01:59,,,
AMLH 64831,The Police,Zenyatta Mondatta,A&M Records,"LP, Album",,1980,1381820,Uncategorized,2021-03-13 08:44:12,,,
AMLH 68502,The Police,Outlandos D'Amour,A&M Records,"LP, Album",,1978,793593,Uncategorized,2020-12-21 01:06:17,,,
AMLK 63730,The Police,Ghost In The Machine,A&M Records,"LP, Album",,1981,5815101,Uncategorized,2021-03-13 08:44:47,,,
AMLX 63735,The Police,Synchronicity,A&M Records,"LP, Album",,1983,1595299,Uncategorized,2021-03-13 08:45:34,,,
DREAM 1,Sting,The Dream Of The Blue Turtles,A&M Records,"LP, Album",,1985,586972,Uncategorized,2020-12-21 00:53:11,,,
SP-3911,Various,A Very Special Christmas,A&M Records,"LP, Comp, Gol",,1987,10031413,Uncategorized,2020-12-21 00:52:07,,,
SP-4792,The Police,Reggatta De Blanc,A&M Records,"LP, Album, San",,1979,731966,Uncategorized,2020-09-27 20:05:04,,,
"SAML-931,461",Herb Alpert & The Tijuana Brass,The Best Of Herb Alpert's Tijuana Brass,"A&M Records, Festival Records","LP, Comp",,1967,3700157,Uncategorized,2021-03-13 08:26:03,,,
26122 XOT,Herman Brood & His Wild Romance,Shpritsz,Ariola,"LP, Album",,1978,1643113,Uncategorized,2020-10-05 20:33:33,,,
SU-1026,Gentle Giant,Gentle Giant,Armando Curcio Editore,"LP, Comp",,1982,2050430,Uncategorized,2020-12-21 00:58:12,,,
SD 2-704,Derek & The Dominos,Layla And Other Assorted Love Songs,ATCO Records,"2xLP, Album, PR ",,1970,1306997,Uncategorized,2020-09-27 19:54:46,,,
RP1-791369,Daft Punk,Alive 2007,Atlantic,"2xLP, Album, Mixed, 180",,2014,6441857,Uncategorized,2020-12-21 01:09:42,,,
SD 16017,The Blues Brothers,The Blues Brothers (Original Soundtrack Recording),Atlantic,"LP, Album, SP-",,1980,537032,Uncategorized,2020-09-27 20:04:30,,,
SD 7200,"Crosby, Stills, Nash & Young",Déjà Vu,Atlantic,"LP, Album, PR ",,1970,1132195,Uncategorized,2020-12-21 01:04:37,,,
SD 8236,Led Zeppelin,Led Zeppelin II,Atlantic,"LP, Album, RP, DCW",,1969,3977525,Uncategorized,2020-09-06 21:12:41,,,
BOSS 5-2009,Bruce Springsteen,Freeze Out,Bad Joker,"LP, Ltd, Unofficial, Red",,2016,8646812,Uncategorized,2020-09-06 21:13:07,,,
"7243 5 32088 1 3, 532 0881",Norah Jones,Come Away With Me,"Blue Note, Blue Note","LP, Album, RE",,2015,8844547,Uncategorized,2021-01-22 11:38:16,,,
00602508620157,Gregory Porter,All Rise,"Blue Note, Decca","3xLP, Album, Ltd, Blu",,2020,15826596,Uncategorized,2021-03-13 08:38:03,,,
